model_b,metric,general_proxy,alpha_probability,beta_probability_per_proxy_unit,r_squared,spearman_damage_vs_proxy,baseline_accuracy,layers,unique_tool_examples,unique_perplexity_documents,max_leverage,predictions_outside_possible_damage_bounds,alpha_bootstrap_pointwise_low,alpha_bootstrap_pointwise_high,beta_bootstrap_pointwise_low,beta_bootstrap_pointwise_high
0.6,tool_selection,log_ratio,0.4665081507362725,0.038284931301480224,0.08394523610527327,0.30595703429178245,0.8,28,20,5,0.5899610502101643,1,0.28388032040044653,0.6242122750668851,0.033590578359922456,0.0436874384903381
0.6,tool_selection,relative,0.4950615671469444,3.961392144070034e-06,0.02998571087705859,0.30595703429178245,0.8,28,20,5,0.9972463703895291,1,0.3109718020915856,0.6514324418253064,1.6583157065252334e-06,1.0587238378718016e-05
0.6,argument_binding,log_ratio,0.377516903916112,0.03127768338757174,0.0831217625984706,0.30870533482267126,0.65,28,20,5,0.5899610502101643,1,0.20595334352327807,0.5398498173407119,0.02444467635250522,0.03863330788171568
0.6,argument_binding,relative,0.40084298902603693,3.2367468346378833e-06,0.029698971942288654,0.30870533482267126,0.65,28,20,5,0.9972463703895291,1,0.2263795196181253,0.5658249114948932,1.328944013716689e-06,8.825761439759624e-06
0.6,full_call,log_ratio,0.38155321112249735,0.030839687197202797,0.08276130469036647,0.30970842488011985,0.65,28,20,5,0.5899610502101643,1,0.20805407600851702,0.5459502374825635,0.024032994052484255,0.038245784178636034
0.6,full_call,relative,0.40456174667503547,3.188438396492953e-06,0.029514934725982767,0.30970842488011985,0.65,28,20,5,0.9972463703895291,1,0.22810590346337697,0.5712350810992193,1.3014795910672158e-06,8.682917208601912e-06
1.7,tool_selection,log_ratio,0.19694055895551227,0.06750535400530262,0.2788586849466186,0.26356736711285894,1.0,28,20,5,0.8017475786181721,1,0.16637328203171253,0.23297121724019598,0.06219276157486043,0.07831441462911388
1.7,tool_selection,relative,0.2370008819926134,6.977925155717136e-07,0.15813460325384499,0.26356736711285894,1.0,28,20,5,0.9999996174264304,1,0.20735678317925907,0.26850869724472476,4.4025853926214086e-07,4.1449537544688775e-06
1.7,argument_binding,log_ratio,0.2585325487113193,0.059465713745837055,0.2760584836241434,0.3866399781799998,0.95,28,20,5,0.8017475786181721,1,0.18376557316833286,0.3453094075011713,0.050997642225892675,0.0700329752743994
1.7,argument_binding,relative,0.294413333121777,5.995607667327334e-07,0.148936382629423,0.3866399781799998,0.95,28,20,5,0.9999996174264304,1,0.21848943120829864,0.3759161742998403,3.701169376795555e-07,3.555545823575097e-06
1.7,full_call,log_ratio,0.2585325487113193,0.059465713745837055,0.2760584836241434,0.3866399781799998,0.95,28,20,5,0.8017475786181721,1,0.18376557316833286,0.3453094075011713,0.050997642225892675,0.0700329752743994
1.7,full_call,relative,0.294413333121777,5.995607667327334e-07,0.148936382629423,0.3866399781799998,0.95,28,20,5,0.9999996174264304,1,0.21848943120829864,0.3759161742998403,3.701169376795555e-07,3.555545823575097e-06
